URL,Is 404,Status Code,Response Time,Error
https://www.waymotorworks.com/countryman-black-all-4-badge.html?printable=Y,True,404,0.906,HTTP Error 404: Not Found
https://www.waymotorworks.com/09-10-cabrio-r57/interior/guages/,True,404,0.928,HTTP Error 404: Not Found
https://www.waymotorworks.com/09-10-cabrio-r57/handling/suspension/braces-bushings-plates/index2.html,True,404,0.965,HTTP Error 404: Not Found
https://www.waymotorworks.com/09-10-cabrio-r57/handling/index5.html,True,404,0.9,HTTP Error 404: Not Found
https://www.waymotorworks.com/12-roadster-s-r59/maintenance/index7.html?sort=title,True,404,0.93,HTTP Error 404: Not Found
https://www.waymotorworks.com/handling/suspension/braces-bushings/index4.html?js=n,True,404,0.924,HTTP Error 404: Not Found
https://www.waymotorworks.com/ultimate-supercharger-oil-change-kit-r52-r53.html,False,200,1.359,
https://www.waymotorworks.com/used-outside-door-mirror-r50-r52-r53.html?printable=Y,True,404,0.973,HTTP Error 404: Not Found
https://www.waymotorworks.com/h-r-street-performance-coilovers-r50-r53.html,True,404,0.969,HTTP Error 404: Not Found
https://www.waymotorworks.com/12-roadster-s-r59/maintenance/index7.html?sort_direction=1,True,404,0.97,HTTP Error 404: Not Found
https://www.waymotorworks.com/12-coupe-s-r58/index17.html?sort=price,True,404,0.999,HTTP Error 404: Not Found
http://www.waymotorworks.com/14-f56-cooper-s/index9.html?sort=title,True,404,1.121,HTTP Error 404: Not Found
https://www.waymotorworks.com/12-roadster-r59/index10.html,True,404,0.947,HTTP Error 404: Not Found
http://www.waymotorworks.com/door-lock-actuator-r60-countryman-r61-paceman.html?printable=Y,False,200,1.6,
http://www.waymotorworks.com/nm-discharge-pipe-black.html,False,200,1.677,
https://www.waymotorworks.com/jeep-liberty-radiator.html,True,404,0.898,HTTP Error 404: Not Found
https://www.waymotorworks.com/12-roadster-s-r59/performance/drivetrain/index8.html,True,404,0.931,HTTP Error 404: Not Found
http://www.waymotorworks.com/02-06-cooper-r50/maintenance/index6.html,True,404,1.174,HTTP Error 404: Not Found
https://www.waymotorworks.com/11-countryman-r60/index5.html?sort_direction=1,True,404,0.937,HTTP Error 404: Not Found
https://www.waymotorworks.com/09-10-cabrio-r57/maintenance/index3.html?sort_direction=1,True,404,0.932,HTTP Error 404: Not Found
https://www.waymotorworks.com/08-10-clubman-r55/handling/suspension/index3.html,True,404,1.117,HTTP Error 404: Not Found
https://www.waymotorworks.com/02-06-cooper-r50/handling/suspension/index5.html?sort=price,True,404,0.915,HTTP Error 404: Not Found
http://www.waymotorworks.com/used-head-screw-plugs-r50-r52-r53.html,True,404,1.225,HTTP Error 404: Not Found
https://www.waymotorworks.com/wmw-ecu-tune-r50-r52-cooper-non-s.html,False,200,1.458,
https://www.waymotorworks.com/11-countryman-r60/exterior/accessories/index2.html,True,404,0.944,HTTP Error 404: Not Found
https://www.waymotorworks.com/megan-racing-r50-r53-coilovers.html,False,200,1.337,
https://www.waymotorworks.com/handling/index12.html?sort=title,True,404,0.945,HTTP Error 404: Not Found
https://www.waymotorworks.com/stock-clutch-kit-r52-r53-cooper-s.html,False,200,1.549,
https://waymotorworks.com/manufacturers/?manufacturerid=26&page=100,True,404,0.67,HTTP Error 404: Not Found
https://www.waymotorworks.com/chassis-bones-body-braces-f55-f56-f57.html,False,200,1.559,
https://www.waymotorworks.com/07-10-cooper-r56/exterior/index3.html,True,404,1.157,HTTP Error 404: Not Found
https://www.waymotorworks.com/02-06-cooper-s-r53/handling/index2.html,True,404,0.942,HTTP Error 404: Not Found
https://www.waymotorworks.com/11-countryman-r60/index8.html,True,404,0.952,HTTP Error 404: Not Found
http://www.waymotorworks.com/home.php?printable=Y&cat=1350,True,404,1.143,HTTP Error 404: Not Found
http://www.waymotorworks.com/05-08-cooper-cabrio-s-r52/exterior/aerodynamics/index2.html,True,404,1.241,HTTP Error 404: Not Found
http://www.waymotorworks.com/09-10-cabrio-r57/index25.html,True,404,1.299,HTTP Error 404: Not Found
http://www.waymotorworks.com/grille-badge-holder-oem.html,False,200,1.63,
https://www.waymotorworks.com/12-coupe-s-r58/handling/index5.html,True,404,1.06,HTTP Error 404: Not Found
https://www.waymotorworks.com/performance/drivetrain/index7.html?sort=price,True,404,1.096,HTTP Error 404: Not Found
http://waymotorworks.com/coco-boot-mat-r55-clubman.html,True,404,0.846,HTTP Error 404: Not Found
https://www.waymotorworks.com/05-08-cooper-cabrio-r52/handling/index5.html?printable=Y,True,404,1.031,HTTP Error 404: Not Found
https://www.waymotorworks.com/02-06-cooper-r50/performance/drivetrain/electrical/index2.html,True,404,0.981,HTTP Error 404: Not Found
http://www.waymotorworks.com/12-coupe-s-r58/brakes/index3.html,True,404,1.276,HTTP Error 404: Not Found
https://www.waymotorworks.com/milltek-valvesonic-exhaust-for-f56-mini-cooper-s.html,True,404,0.995,HTTP Error 404: Not Found
http://www.waymotorworks.com/radiator-support-r52-r53-cooper-s.html?js=n,False,200,1.635,
http://www.waymotorworks.com/05-08-cooper-cabrio-r52/maintenance/index9.html,True,404,1.187,HTTP Error 404: Not Found
https://www.waymotorworks.com/08-clubman-s-r55/exterior/lighting/index2.html,True,404,1.0,HTTP Error 404: Not Found
https://www.waymotorworks.com/oil-pressure-control-solenoid-n18-r55-r56-r57-r58-r59-r60-r61-cooper-s.html,False,200,1.495,
